Name,Frequency,Amplitude,PulseWidth,AOA
F,4330.865,-16,1.66,136
S1,1425.875,-9,4.39,184
F,4330.765,-16,1.66,136
F,4331.39,-16,1.66,138
F,4330.735,-16,1.66,138
F,4330.735,-16,1.66,138
F,4331.42,-16,1.66,138
F,4331.35,-16,1.66,141
F,4331.235,-16,1.66,0
F,4330.835,-127,1.84,0
F,4331.4,-127,1.84,325
F,4331.4,-52,1.84,325
S1,1425.875,-9,4.39,186
F,4331.33,-50,1.84,325
F,4331.33,-50,1.84,325
F,4331.33,-50,1.84,0
F,4330.335,-127,1.9,0
F,4331.4,-47,1.9,333
S1,1425.875,-9,4.39,189
F,4331.315,-47,1.9,336
F,4331.315,-39,1.9,336
S1,1425.875,-9,4.39,191
F,4331.265,-35,1.9,338
S1,1425.92,-53,4.39,191
S1,1425.92,-53,4.39,193
F,4331.265,-35,1.9,341
F,4331.265,-33,1.9,341
F,4331.47,-33,1.9,341
F,4331.47,-33,1.9,341
S1,1425.92,-53,4.39,195
F,4331.47,-33,1.9,338
S1,1425.92,-53,4.39,197
F,4330.55,-33,1.9,340
S1,1425.92,-53,4.39,199
F,4331.37,-33,1.9,343
S1,1425.92,-53,4.39,202
F,4331.37,-33,1.9,345
S1,1425.92,-53,4.39,204
F,4332.035,-33,1.9,347
S1,1425.92,-53,4.39,206
F,4332.035,-33,1.9,350
S1,1425.92,-53,4.39,208
F,4332.035,-33,1.9,352
S1,1425.92,-53,4.39,210
F,4331.4,-33,1.9,354
S1,1425.92,-53,4.39,212
F,4330.865,-33,1.9,356
S1,1425.92,-53,4.39,214
F,4331.41,-33,1.9,359
S1,1425.92,-58,4.39,217
S1,1425.92,-58,4.39,217
S1,1425.92,-58,4.39,219
F,4331.4,-33,1.9,2
S1,1425.92,-58,4.39,221
F,4331.41,-33,1.9,4
F,4331.41,-33,1.9,6
S1,1425.92,-58,4.39,224
F,4331.35,-33,1.9,6
S1,1425.92,-58,4.39,226
F,4331.35,-33,1.9,9
F,4331.35,-33,1.9,9
F,4331.35,-33,1.9,11
S1,1425.92,-58,4.39,226
S1,1425.92,-58,4.39,228
F,4331.41,-33,1.9,14
F,4331.41,-33,1.9,14
F,4331.43,-33,1.9,16
F,4331.43,-33,1.9,18
F,4331.41,-33,1.9,18
F,4331.41,-33,1.9,21
F,4331.41,-33,1.9,0
S3,1411.115,-127,4.33,0
F,4331.39,-127,1.6,0
S3,1411.155,-127,4.33,173
F,4331.39,-127,1.6,206
S3,1411.155,-73,4.33,173
F,4331.39,-23,1.6,206
S3,1411.155,-73,4.33,175
F,4331.4,-23,1.6,208
S3,1411.155,-69,4.33,177
F,4331.4,-23,1.6,210
S1,1425.92,-58,4.39,192
S3,1411.155,-69,4.33,179
F,4331.38,-23,1.6,212
S3,1411.155,-69,4.33,179
F,4331.38,-23,1.6,212
S3,1411.155,-65,4.33,179
S3,1411.155,-60,4.33,181
F,4331.4,-23,1.6,214
S3,1411.155,-58,4.33,181
S3,1411.155,-58,4.33,181
F,4331.4,-23,1.6,214
S3,1411.155,-58,4.33,183
F,4331.4,-23,1.6,216
F,4331.4,-23,1.6,216
S3,1411.155,-58,4.33,185
F,4331.4,-23,1.6,218
S1,1426.33,-58,225.97,262
S3,1411.155,-58,4.33,187
F,4331.4,-23,1.6,220
S3,1411.155,-58,4.33,187
S3,1411.155,-58,4.33,189
F,4331.4,-23,1.6,222
S1,1426.33,-58,225.97,265
S3,1411.155,-58,4.33,191
F,4331.4,-23,1.6,224
